02,79265710485,1710637136,1710639650
01,79573854002,1710297676,1710300586
02,79265710485,1710565701,1710568871
01,79385783748,1708823276,1708824136
02,79382048394,1710539180,1710539225
01,79382048394,1709800057,1709800419
02,70385739553,1710486144,1710487222
01,78106578302,1709158062,1709161122
02,79247284038,1709831977,1709833352
01,79385783748,1710879891,1710883418
02,70385739553,1710154047,1710157451
01,78106578302,1709724989,1709725858
02,79382048394,1710919751,1710920157
01,79382048394,1710292880,1710295005
02,79385783748,1709697652,1709699646
01,78106578302,1711144447,1711147633
02,70385739553,1709249382,1709251036
01,79213918456,1710206281,1710208040
