02,79247284038,1681657225,1681657274
01,77290382788,1682824980,1682825434
01,79385783748,1680362855,1680363577
02,79247284038,1682271750,1682272589
02,78106578302,1680394283,1680394939
01,78106578302,1680493969,1680494552
02,77290382788,1682464920,1682465051
02,79247284038,1682216336,1682217121
02,79265710485,1682737500,1682737901
01,79265710485,1682804071,1682804277
02,77290382788,1681783411,1681783680
02,79382718473,1682029423,1682029962
01,78106578302,1682737183,1682737332
02,79213918456,1681821444,1681821458
